scaffold	start	end	mid	sites	lnL	cv_lnL
contig0	22524	22833	22682	50	-376.28048	-595.02275
contig0	22837	23335	23068	50	-384.35160	-668.58555
contig0	23346	23712	23512	50	-432.77068	-851.88965
contig0	23724	24099	23935	50	-430.31453	-1146.02544
contig0	24101	24431	24279	50	-369.53797	-785.50382
contig0	24438	24794	24606	50	-400.58275	-780.07552
contig0	24803	25214	24995	50	-392.83355	-666.77978
contig0	25215	25610	25402	50	-416.12545	-879.19266
contig0	25614	25901	25760	50	-380.04268	-678.95733
contig0	25906	26287	26092	50	-390.60693	-791.17293
contig0	26288	26719	26510	50	-410.89024	-889.23214
contig0	26729	27163	26945	50	-400.71839	-836.53233
contig0	27170	27606	27387	50	-389.33965	-824.24141
contig0	27607	28039	27820	50	-344.49778	-681.86461
contig0	28042	28451	28283	50	-401.62073	-1010.97565
contig0	28465	28788	28632	50	-400.47573	-688.84708
contig0	28796	29144	28959	50	-434.48547	-1005.87887
contig0	29148	29489	29312	50	-378.09673	-597.6424
contig0	29492	29805	29659	50	-410.19371	-828.98421
contig0	29808	30197	29979	50	-420.22692	-1017.49375
contig0	30198	30532	30363	50	-414.69786	-848.90567
contig0	30543	30947	30752	50	-419.24024	-920.09128
contig0	30958	31291	31133	50	-406.76708	-1088.65553
contig0	31306	31695	31511	50	-404.46883	-753.00723
contig0	31733	32129	31936	50	-390.99963	-728.5469
contig0	32135	32623	32401	50	-414.21910	-882.97075
contig0	32658	33045	32854	50	-402.49187	-1168.63006
contig0	33054	33395	33236	50	-399.10170	-952.15199
contig0	33402	33784	33598	50	-409.28821	-853.69725
contig0	33785	34352	34090	50	-420.46141	-1042.95282
contig0	34383	34759	34577	50	-399.24224	-958.51423
contig0	34766	35171	34985	50	-413.09853	-835.31533
contig0	35172	35476	35303	50	-371.96922	-768.01259
contig0	35485	35821	35649	50	-370.39903	-730.27472
contig0	35861	36167	36031	50	-386.83449	-926.34492
contig0	36177	36501	36333	50	-398.88116	-889.06336
contig0	36505	36898	36689	50	-423.62691	-846.30188
contig0	36923	37322	37125	50	-479.87130	-720.44221
contig0	37325	37704	37527	50	-413.51007	-1023.60713
contig0	37706	38088	37913	50	-397.24251	-785.13382
contig0	38099	38427	38256	50	-415.95956	-739.31307
contig0	38441	38804	38614	50	-376.68304	-675.922
contig0	38806	39232	38990	50	-371.67314	-774.01741
contig0	39236	39819	39536	50	-384.50085	-790.88722
contig0	39835	40291	40093	50	-391.39216	-865.87761
contig0	40292	40769	40550	50	-373.96505	-737.20169
contig0	40777	41177	40965	50	-420.80078	-723.22045
contig0	41213	41604	41400	50	-361.97172	-762.36485
contig0	41613	41981	41788	50	-422.15119	-791.03638
contig0	41986	42436	42204	50	-429.15588	-817.16152
contig0	42438	42751	42608	50	-359.68638	-620.01187
contig0	42754	43116	42947	50	-434.37724	-747.21748
contig0	43124	43470	43291	50	-394.69533	-687.57114
contig0	43471	43817	43650	50	-417.12481	-960.7369
contig0	43828	44208	43989	50	-413.81352	-960.54363
contig0	44221	44650	44438	50	-380.71838	-911.71656
contig0	44667	44998	44826	50	-376.78249	-828.72556
contig0	45000	45359	45176	50	-375.20232	-784.90421
contig0	45362	45714	45544	50	-410.28209	-831.27867
contig0	45720	46033	45862	50	-399.28009	-943.83056
contig0	46036	46490	46246	50	-404.87067	-1042.17749
contig0	46493	46916	46695	50	-395.49536	-642.95873
contig0	46931	47302	47105	50	-420.34002	-782.11877
contig0	47303	47755	47517	50	-380.01089	-827.73116
contig0	47757	48098	47934	50	-417.18671	-667.78821
contig0	48109	48532	48296	50	-414.49659	-875.34233
contig0	48540	48925	48722	50	-370.21386	-743.09056
contig0	48947	49400	49176	50	-398.15070	-737.79265
contig0	49401	49762	49599	50	-408.56533	-701.58805
contig0	49798	50181	49996	50	-431.71103	-971.94312
contig0	50186	50489	50328	50	-410.89753	-896.58654
contig0	50501	50861	50663	50	-420.46635	-925.83183
contig0	50862	51249	51047	50	-382.15786	-655.67157
contig0	51256	51620	51431	50	-426.51793	-874.48823
contig0	51636	52026	51824	50	-430.78343	-1095.02438
contig0	52030	52411	52195	50	-401.29925	-854.67484
contig0	52421	52736	52580	50	-401.15638	-920.39597
contig0	52737	53103	52919	50	-384.27869	-827.33355
contig0	53113	53379	53249	50	-407.47724	-925.51028
contig0	53391	53750	53561	50	-401.54962	-854.68382
contig0	53751	54025	53888	50	-396.93653	-859.77567
contig0	54035	54474	54283	50	-374.47409	-992.20551
contig0	54480	54854	54672	50	-400.15263	-800.41292
contig0	54864	55138	55008	50	-403.29345	-804.17048
contig0	55140	55537	55332	50	-434.81294	-813.44154
contig0	55539	55893	55707	50	-450.94996	-905.12072
contig0	55901	56224	56051	50	-402.57057	-882.07503
contig0	56228	56500	56370	50	-416.09684	-818.44606
contig0	56509	56931	56691	50	-387.33991	-964.83251
contig0	56932	57414	57151	50	-426.63403	-739.70544
contig0	57415	57950	57669	50	-414.38841	-771.88216
contig0	57953	58395	58148	50	-436.11134	-1010.81785
contig0	58400	58819	58634	50	-401.65411	-888.5373
contig0	58837	59170	59023	50	-388.18470	-694.43656
contig0	59174	59455	59312	50	-346.96487	-710.0243
contig0	59469	59677	59569	50	-381.80770	-775.18383
contig0	59680	60064	59880	50	-394.98379	-856.33155
contig0	60085	60505	60289	50	-402.22730	-1083.15216
contig0	60533	60833	60692	50	-405.68006	-1141.3652
contig0	60835	61146	60979	50	-437.83483	-1036.77731
contig0	61149	61744	61471	50	-422.91073	-906.87134
contig0	61755	62128	61942	50	-401.75928	-859.38435
contig0	62142	62479	62311	50	-371.41819	-638.33662
contig0	62486	62904	62668	50	-394.85868	-760.91458
contig0	62909	63403	63224	50	-438.05958	-1050.3798
contig0	63408	63906	63682	50	-425.48827	-682.35475
contig0	63910	64365	64124	50	-400.24421	-817.11108
contig0	64371	64810	64568	50	-396.90432	-995.19805
contig0	64822	65290	65029	50	-403.73229	-941.72764
contig0	65296	65714	65528	50	-396.12512	-1076.36952
contig0	65715	65998	65855	50	-401.40109	-1035.17165
contig0	65999	66366	66175	50	-418.22364	-1217.81076
contig0	66367	66755	66552	50	-363.03599	-677.91224
contig0	66756	67179	66951	50	-399.71355	-632.72105
contig0	67183	67546	67361	50	-388.08206	-807.27863
contig0	67557	67981	67789	50	-380.39984	-984.51252
contig0	67983	68423	68219	50	-410.47509	-1063.0147
contig0	68424	68789	68612	50	-388.75276	-660.51334
contig0	68790	69140	68957	50	-383.77621	-635.20486
contig0	69143	69524	69328	50	-406.07343	-658.26573
contig0	69529	69893	69724	50	-383.07483	-729.65513
contig0	69898	70368	70125	50	-438.51405	-959.36011
contig0	70369	70753	70571	50	-386.82926	-971.32006
contig0	70760	71046	70918	50	-377.46249	-811.43206
contig0	71060	71476	71263	50	-365.89424	-1113.33566
contig0	71479	71780	71625	50	-416.56836	-1081.81266
contig0	71788	72182	71986	50	-364.99953	-703.38127
contig0	72223	72536	72376	50	-377.48816	-712.20102
contig0	72539	72828	72656	50	-379.11033	-690.5022
contig0	72833	73222	73036	50	-400.39462	-912.42853
contig0	73231	73546	73387	50	-392.89125	-693.08887
contig0	73548	73922	73739	50	-417.79372	-881.7546
contig0	73924	74295	74084	50	-404.47300	-755.99887
contig0	74302	74736	74503	50	-433.03164	-874.01375
contig0	74741	75244	75013	50	-389.56051	-820.25831
contig0	75246	75571	75397	50	-388.33633	-613.5146
contig0	75574	75943	75762	50	-412.31175	-869.6124
contig0	75948	76274	76105	50	-404.27339	-769.98293
contig0	76293	76644	76474	50	-401.26006	-1001.33385
contig0	76650	77043	76837	50	-373.27512	-770.48902
contig0	77048	77453	77273	50	-384.43494	-794.46431
contig0	77456	77819	77639	50	-421.64974	-801.25974
contig0	77820	78273	78076	50	-433.92044	-983.18642
contig0	78277	78662	78477	50	-373.31276	-772.80749
contig0	78689	78954	78810	50	-404.98252	-828.13584
contig0	78955	79256	79096	50	-422.21997	-1079.36242
contig0	79257	79515	79373	50	-383.17439	-750.10949
contig0	79517	79809	79664	50	-379.98575	-903.01794
contig0	79810	80145	79976	50	-477.30516	-1023.32867
contig0	80150	80614	80403	50	-437.31063	-931.35897
contig0	80621	80996	80805	50	-396.74442	-823.51196
contig0	81009	81359	81189	50	-409.67792	-835.21704
contig0	81360	81728	81536	50	-395.22691	-981.10964
contig0	81741	82135	81936	50	-399.21679	-905.80555
contig0	82139	82528	82327	50	-444.12603	-981.67523
contig0	82535	82901	82746	50	-390.93676	-693.0407
contig0	82902	83306	83104	50	-415.68510	-773.98786
contig0	83313	83764	83562	50	-431.12184	-730.06279
contig0	83765	84168	83956	50	-389.70398	-950.8962
contig0	84171	84579	84365	50	-364.23032	-818.90179
contig0	84586	84992	84796	50	-394.02108	-798.55572
contig0	84997	85326	85178	50	-410.52459	-839.07526
contig0	85329	85793	85577	50	-387.34107	-849.87904
contig0	85799	86209	85997	50	-369.58923	-1220.45033
contig0	86226	86545	86384	50	-406.49154	-762.46627
contig0	86547	86913	86733	50	-394.67580	-820.39296
contig0	86917	87342	87121	50	-436.58173	-917.6195
contig0	87351	87749	87536	50	-405.68284	-846.77303
contig0	87751	88109	87917	50	-370.45505	-827.21227
contig0	88117	88523	88332	50	-392.59389	-805.7755
contig0	88529	88839	88681	50	-341.95330	-652.80849
contig0	88841	89302	89081	50	-396.51385	-826.84222
contig0	89304	89601	89435	50	-458.04983	-856.3703
contig0	89610	89917	89765	50	-420.39349	-810.88529
contig0	89920	90269	90115	50	-388.02137	-676.54169
contig0	90301	90577	90441	50	-400.35132	-724.38748
contig0	90592	90991	90812	50	-420.21061	-864.39431
contig0	91015	91499	91231	50	-420.25758	-1045.1505
contig0	91504	91876	91682	50	-405.68493	-1035.68771
contig0	91877	92252	92055	50	-411.96623	-877.1641
contig0	92261	92581	92449	50	-405.33098	-817.57193
contig0	92582	93021	92812	50	-399.76626	-690.00637
contig0	93027	93525	93280	50	-455.69754	-1116.09351
contig0	93527	93927	93723	50	-403.90525	-759.63449
contig0	93944	94274	94128	50	-406.32177	-904.57372
contig0	94293	94671	94492	50	-431.51964	-971.59256
contig0	94674	95094	94878	50	-392.27124	-827.43587
contig0	95096	95524	95352	50	-380.74705	-768.45561
contig0	95532	95909	95752	50	-392.73803	-706.0336
contig0	95910	96299	96141	50	-364.67246	-714.38965
contig0	96319	96656	96488	50	-403.77927	-900.57824
contig0	96675	96978	96817	50	-447.81174	-1100.92274
contig0	96994	97321	97157	50	-402.60178	-764.58661
contig0	97322	97612	97478	50	-423.27757	-802.9271
contig0	97613	97953	97777	50	-416.72834	-693.34722
contig0	97963	98375	98194	50	-413.81546	-1150.42841
contig0	98381	98654	98522	50	-406.09509	-831.26483
contig0	98671	99010	98832	50	-397.71690	-585.26765
contig0	99015	99422	99245	50	-420.41452	-701.73658
contig0	99423	99746	99591	50	-382.06439	-748.83827
contig0	99751	100163	99947	50	-450.97478	-729.78678
contig0	100168	100519	100345	50	-402.27045	-703.99666
contig0	100524	100978	100751	50	-403.59914	-852.99857
contig0	100981	101328	101143	50	-426.79170	-870.15328
contig0	101332	101730	101511	50	-404.06541	-796.53013
contig0	101756	102154	101965	50	-401.75354	-907.84464
contig0	102156	102528	102350	50	-415.25119	-858.97112
contig0	102530	102859	102702	50	-410.69342	-889.1269
contig0	102864	103204	103017	50	-418.76798	-995.93332
contig0	103209	103523	103365	50	-361.20851	-810.54168
contig0	103532	103908	103722	50	-407.38682	-901.76229
contig0	103921	104259	104099	50	-427.74099	-865.93212
contig0	104260	104750	104494	50	-428.15647	-1056.07406
contig0	104759	105127	104962	50	-428.97869	-972.59848
contig0	105150	105521	105366	50	-395.26912	-934.36605
contig0	105530	106014	105765	50	-406.33457	-958.43284
contig0	106022	106386	106224	50	-416.64434	-811.14772
contig0	106394	106870	106634	50	-391.49799	-796.45219
contig0	106882	107267	107086	50	-397.65237	-822.69349
contig0	107268	107724	107510	50	-346.01709	-587.3801
contig0	107728	108188	107944	50	-399.03925	-703.87206
contig0	108198	108728	108428	50	-374.96550	-735.18795
contig0	108729	109044	108880	50	-403.90946	-672.59833
contig0	109045	109433	109233	50	-421.07850	-832.12489
contig0	109436	109789	109590	50	-403.57951	-701.86979
contig0	109796	110205	109991	50	-406.72744	-895.73747
contig0	110222	110669	110456	50	-394.65039	-844.43715
contig0	110671	111039	110870	50	-419.18435	-1023.40783
contig0	111042	111387	111200	50	-357.35600	-877.42391
contig0	111395	111740	111564	50	-404.69233	-893.79302
contig0	111753	112101	111945	50	-422.81987	-771.00615
contig0	112114	112533	112340	50	-460.77746	-1068.97142
contig0	112547	112938	112745	50	-414.94023	-725.58848
contig0	112952	113390	113184	50	-396.42681	-617.69515
contig0	113398	113794	113584	50	-387.11945	-644.92389
contig0	113795	114196	113999	50	-425.00898	-802.93119
contig0	114205	114579	114370	50	-364.61570	-639.78011
contig0	114586	114897	114761	50	-428.38013	-792.31377
contig0	114898	115295	115118	50	-393.24438	-691.78715
contig0	115304	115703	115520	50	-413.46736	-737.22075
contig0	115704	116090	115911	50	-413.68714	-787.54842
contig0	116108	116518	116283	50	-391.58423	-754.95857
contig0	116526	116890	116718	50	-397.52507	-790.86386
contig0	116914	117339	117115	50	-384.19885	-674.49701
contig0	117340	117730	117537	50	-408.01659	-937.08527
contig0	117742	118103	117938	50	-396.30237	-737.24831
contig0	118117	118473	118294	50	-443.13569	-913.43855
contig0	118481	118959	118721	50	-414.83990	-1141.11591
contig0	118967	119387	119175	50	-410.14526	-798.5026
contig0	119388	119781	119598	50	-404.17351	-785.00658
contig0	119784	120220	119974	50	-440.76599	-898.36604
contig0	120230	120594	120411	50	-393.87244	-856.69435
contig0	120601	120927	120784	50	-400.59490	-802.72301
contig0	120932	121305	121127	50	-380.82609	-895.20884
contig0	121307	121683	121497	50	-399.01355	-917.97664
contig0	121689	122063	121866	50	-404.75526	-763.2651
contig0	122071	122454	122278	50	-416.04180	-1229.39746
contig0	122459	122853	122635	50	-431.84875	-1089.98981
contig0	122865	123286	123065	50	-414.03860	-729.6203
contig0	123287	123646	123457	50	-363.31692	-548.03158
contig0	123647	124030	123845	50	-359.03848	-593.09766
contig0	124032	124361	124217	50	-373.62194	-736.12037
contig0	124378	124695	124529	50	-443.38323	-703.99582
contig0	124696	125005	124851	50	-407.16882	-766.87512
contig0	125013	125422	125224	50	-417.41270	-903.69349
contig0	125423	125796	125611	50	-396.92400	-844.28001
contig0	125806	126153	126000	50	-403.03873	-951.85088
contig0	126158	126471	126310	50	-456.93643	-1061.22412
contig0	126477	126792	126635	50	-410.37486	-1147.27441
contig0	126800	127151	126988	50	-379.17460	-720.04218
contig0	127162	127606	127387	50	-417.86824	-777.34933
contig0	127618	127992	127807	50	-403.38248	-986.33535
contig0	127997	128308	128180	50	-369.18832	-665.27806
contig0	128309	128585	128462	50	-379.86332	-918.74149
contig0	128595	128998	128792	50	-391.22053	-941.17617
contig0	129002	129414	129206	50	-379.87554	-783.23427
contig0	129415	129899	129669	50	-412.09586	-670.97251
contig0	129903	130260	130076	50	-450.50788	-851.42076
contig0	130265	130694	130490	50	-404.56712	-1066.1059
contig0	130695	130998	130849	50	-392.16417	-918.5234
contig0	131007	131378	131196	50	-412.19569	-876.01053
contig0	131382	131752	131568	50	-423.11665	-783.02352
contig0	131753	132016	131884	50	-410.36326	-901.8423
contig0	132031	132448	132254	50	-437.05986	-946.21683
contig0	132449	132806	132624	50	-407.07408	-692.10247
contig0	132837	133240	133060	50	-400.28406	-1065.12122
contig0	133271	133607	133461	50	-403.25411	-945.50459
contig0	133610	133912	133747	50	-376.41933	-967.83723
contig0	133914	134239	134075	50	-401.74605	-730.14929
contig0	134256	134637	134444	50	-425.35358	-1002.98182
contig0	134642	135045	134831	50	-436.71074	-848.14316
contig0	135049	135356	135217	50	-367.00151	-804.20575
contig0	135359	135710	135512	50	-387.35865	-1316.61556
contig0	135715	136050	135893	50	-419.13444	-742.3652
contig0	136069	136513	136305	50	-408.97569	-620.71884
contig0	136519	136950	136726	50	-372.94889	-723.38022
contig0	136956	137363	137150	50	-362.38949	-637.54193
contig0	137372	137806	137617	50	-388.73033	-703.22674
contig0	137809	138178	138000	50	-411.42525	-773.39395
contig0	138181	138496	138332	50	-415.15475	-717.67318
contig0	138497	138972	138723	50	-390.75866	-735.36785
contig0	138980	139354	139185	50	-419.04712	-975.65636
contig0	139355	139819	139570	50	-403.03807	-811.18705
contig0	139827	140119	139980	50	-417.44791	-803.78955
contig0	140120	140494	140313	50	-416.04660	-800.89724
contig0	140504	140923	140710	50	-386.13269	-1063.86979
contig0	140929	141252	141089	50	-385.48974	-859.91499
contig0	141253	141625	141438	50	-376.00482	-862.56007
contig0	141646	142055	141857	50	-422.88283	-755.22812
contig0	142059	142473	142252	50	-399.81664	-662.86976
contig0	142478	142897	142702	50	-411.97259	-768.17489
contig0	142905	143327	143130	50	-423.78416	-782.183
contig0	143328	143705	143517	50	-425.14637	-1131.59684
contig0	143727	144079	143906	50	-425.16922	-932.35459
contig0	144082	144418	144259	50	-455.04539	-922.42898
contig0	144423	144799	144599	50	-377.50111	-609.63341
contig0	144807	145170	144990	50	-396.82701	-545.29586
contig0	145182	145519	145338	50	-360.54816	-821.30565
contig0	145527	145928	145698	50	-399.41411	-811.38307
contig0	145935	146284	146084	50	-375.08189	-549.39851
contig0	146303	146697	146495	50	-364.80599	-734.41759
contig0	146709	147193	146929	50	-396.06072	-686.72052
contig0	147199	147539	147379	50	-389.39447	-699.11658
contig0	147551	147923	147718	50	-401.03166	-726.03865
contig0	147930	148286	148111	50	-401.47987	-879.79885
contig0	148317	148685	148513	50	-408.41378	-673.46607
contig0	148699	148968	148832	50	-399.77666	-740.47436
contig0	148976	149306	149110	50	-400.09286	-685.37787
contig0	149307	149772	149509	50	-436.56193	-1111.0991
contig0	149781	150228	149982	50	-380.10466	-694.53168
contig0	150240	150670	150435	50	-395.74874	-1020.15646
contig0	150673	151049	150864	50	-378.28725	-693.8085
contig0	151053	151525	151297	50	-404.38753	-871.12209
contig0	151526	151927	151725	50	-417.42665	-817.48374
contig0	151928	152263	152097	50	-384.62307	-641.5778
contig0	152266	152708	152482	50	-401.71762	-1175.62623
contig0	152728	153158	152966	50	-391.27654	-717.60157
contig0	153164	153508	153345	50	-435.71558	-752.04718
contig0	153509	153875	153664	50	-420.14933	-810.27894
contig0	153877	154192	154044	50	-400.73682	-888.07
contig0	154209	154549	154372	50	-413.54691	-885.77269
contig0	154551	155017	154755	50	-442.13732	-1372.43007
contig0	155020	155512	155241	50	-407.18163	-893.14274
contig0	155513	155987	155727	50	-432.79560	-825.72305
contig0	155994	156302	156139	50	-408.80198	-807.08545
contig0	156327	156586	156462	50	-429.48263	-821.87067
contig0	156588	156926	156750	50	-456.56106	-984.94137
contig0	156959	157205	157092	50	-441.44750	-964.01206
contig0	157209	157522	157352	50	-435.39881	-1023.92139
contig0	157525	157787	157654	50	-377.11952	-696.48114
contig0	157789	158128	157961	50	-419.88634	-830.17859
contig0	158138	158627	158393	50	-399.59083	-1008.07555
contig0	158632	159095	158871	50	-388.45914	-627.91234
contig0	159101	159435	159283	50	-358.45050	-750.18116
contig0	159446	159889	159680	50	-419.56111	-1073.77405
contig0	159900	160314	160094	50	-386.80661	-950.89779
contig0	160333	160731	160528	50	-413.74678	-848.88793
contig0	160739	161113	160920	50	-416.97936	-737.01714
contig0	161114	161469	161276	50	-423.65790	-875.62419
contig0	161472	161870	161688	50	-442.61324	-1080.92486
contig0	161877	162194	162018	50	-422.07685	-753.76504
contig0	162196	162508	162360	50	-393.12795	-991.14718
contig0	162511	162834	162669	50	-399.57740	-653.90891
contig0	162838	163145	162987	50	-375.89936	-677.58706
contig0	163148	163522	163362	50	-414.83858	-669.90091
contig0	163524	163965	163758	50	-402.39652	-784.44975
contig0	163971	164453	164200	50	-396.01992	-854.36498
contig0	164458	164763	164607	50	-415.08225	-748.79737
contig0	164770	165106	164931	50	-410.17193	-906.25702
contig0	165110	165530	165328	50	-381.08121	-746.42597
contig0	165548	165974	165753	50	-364.82281	-540.9075
contig0	165976	166444	166233	50	-386.57038	-653.95432
contig0	166456	166973	166716	50	-390.83409	-605.5426
contig0	166975	167377	167186	50	-366.84694	-759.22989
contig0	167378	167746	167550	50	-403.17424	-964.19705
contig0	167756	168253	168002	50	-418.71356	-898.26931
contig0	168262	168641	168430	50	-427.29084	-836.99969
contig0	168656	169058	168875	50	-415.52821	-866.30571
contig0	169063	169478	169266	50	-393.95402	-658.60305
contig0	169481	169860	169675	50	-430.95247	-765.01589
contig0	169864	170265	170071	50	-405.43802	-692.04828
contig0	170274	170585	170436	50	-380.05317	-628.12712
contig0	170586	170907	170745	50	-380.40545	-797.48693
contig0	170909	171241	171066	50	-424.17925	-987.61603
contig0	171244	171670	171462	50	-406.48799	-1297.9594
contig0	171673	171983	171835	50	-452.57046	-1081.27672
contig0	171993	172441	172196	50	-396.47171	-901.45356
contig0	172442	172900	172657	50	-400.61897	-819.7468
contig0	172914	173252	173087	50	-381.66035	-676.41395
contig0	173263	173693	173474	50	-404.53348	-895.90497
contig0	173696	174086	173907	50	-393.50644	-671.6766
contig0	174099	174467	174297	50	-397.50646	-879.45417
contig0	174468	174756	174598	50	-394.27666	-1085.64614
contig0	174762	175093	174915	50	-453.69934	-982.25798
contig0	175105	175406	175257	50	-383.05684	-656.30424
contig0	175407	175753	175570	50	-375.21048	-832.13886
contig0	175764	176196	175952	50	-407.98110	-1085.38632
contig0	176213	176668	176431	50	-404.96811	-696.66075
contig0	176670	177054	176857	50	-389.66548	-691.7173
contig0	177064	177336	177180	50	-392.99315	-971.74518
contig0	177337	177744	177545	50	-437.61525	-729.66616
contig0	177748	178146	177948	50	-391.56136	-742.44506
contig0	178148	178543	178346	50	-378.75438	-977.66254
contig0	178548	178986	178802	50	-373.13757	-580.47793
contig0	178988	179334	179133	50	-419.45020	-773.07826
contig0	179338	179727	179497	50	-431.21731	-616.4971
contig0	179739	180035	179896	50	-413.81430	-843.23076
contig0	180037	180385	180204	50	-373.01170	-983.25186
contig0	180400	180807	180630	50	-518.25972	-1362.58315
contig0	180816	181134	180970	50	-438.67459	-1266.5345
contig0	181136	181551	181344	50	-420.83881	-1275.55996
contig0	181555	181931	181746	50	-363.08605	-529.91214
contig0	181952	182508	182237	50	-443.49916	-875.76711
contig0	182516	182889	182689	50	-409.42191	-952.9848
contig0	182897	183331	183148	50	-384.89424	-773.57717
contig0	183332	183766	183553	50	-374.85038	-708.94625
contig0	183778	184179	183989	50	-434.99801	-802.44767
contig0	184188	184520	184364	50	-434.19882	-816.07669
contig0	184529	184843	184705	50	-390.04461	-968.44393
contig0	184859	185175	185026	50	-403.47730	-882.12779
contig0	185182	185577	185378	50	-414.47977	-810.08212
contig0	185578	185904	185756	50	-373.35012	-860.55075
contig0	185919	186294	186088	50	-373.56487	-727.76431
contig0	186310	186736	186550	50	-415.87147	-896.29275
contig0	186740	187145	186971	50	-396.39869	-683.15711
contig0	187177	187569	187405	50	-388.81410	-780.87981
contig0	187572	188046	187809	50	-409.66694	-799.40732
contig0	188047	188365	188205	50	-396.15281	-728.04151
contig0	188367	188677	188521	50	-427.41439	-818.40329
contig0	188680	189079	188868	50	-409.75931	-817.6419
contig0	189080	189517	189304	50	-402.74353	-731.80144
contig0	189524	189907	189709	50	-392.76874	-824.55246
contig0	189924	190317	190137	50	-415.42119	-846.4168
contig0	190329	190797	190611	50	-426.68974	-1091.30332
contig0	190800	191168	190976	50	-385.08378	-790.26032
contig0	191175	191573	191364	50	-435.20566	-767.89181
contig0	191578	191959	191749	50	-413.67469	-937.77702
contig0	191977	192282	192153	50	-416.81552	-1077.39809
contig0	192284	192701	192497	50	-423.49525	-1091.49932
contig0	192706	193184	192918	50	-404.96914	-708.96207
contig0	193199	193655	193432	50	-386.14100	-747.80732
contig0	193679	194103	193893	50	-393.50552	-750.878
contig0	194104	194530	194316	50	-427.43408	-1022.54999
contig0	194558	194866	194708	50	-417.59631	-851.68585
contig0	194868	195221	195052	50	-381.26870	-726.29724
contig0	195238	195617	195417	50	-386.44713	-855.36981
contig0	195619	196052	195833	50	-408.78612	-804.55316
contig0	196058	196417	196255	50	-411.80352	-798.39072
contig0	196426	196783	196611	50	-433.15084	-925.89752
contig0	196789	197115	196945	50	-365.98009	-658.51348
contig0	197116	197460	197269	50	-405.72013	-776.86155
contig0	197464	197803	197647	50	-416.99283	-706.72716
contig0	197804	198184	197999	50	-402.31289	-755.77969
contig0	198198	198505	198330	50	-402.68602	-734.4388
contig0	198506	198877	198675	50	-383.64251	-615.31071
contig0	198881	199303	199085	50	-411.07787	-663.88244
contig0	199306	199640	199479	50	-432.50121	-891.51394
contig0	199645	200266	199951	50	-442.60213	-931.42701
